日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-12-23,688147,29.9,27.45,31.0,26.88,251826,713472018.0,17.02,13.38,3.24,66.99
2022-12-26,688147,27.5,27.81,28.43,25.66,126043,343457007.0,10.09,1.31,0.36,33.53
2022-12-27,688147,27.7,27.76,29.0,26.59,92559,254649185.0,8.67,-0.18,-0.05,24.62
2022-12-28,688147,27.59,26.94,29.27,26.81,87568,246377298.0,8.86,-2.95,-0.82,23.3
2022-12-29,688147,26.25,26.42,27.39,26.0,52748,140674417.0,5.16,-1.93,-0.52,14.03
2022-12-30,688147,26.8,25.08,27.0,24.65,75620,193897012.0,8.89,-5.07,-1.34,20.12
2023-01-03,688147,25.12,27.45,27.71,25.12,76294,204256839.0,10.33,9.45,2.37,19.05
2023-01-04,688147,27.17,26.48,27.9,26.13,48741,130393820.0,6.45,-3.53,-0.97,12.17
2023-01-05,688147,26.71,28.0,28.26,26.5,58544,160847640.0,6.65,5.74,1.52,14.62
2023-01-06,688147,27.87,27.81,29.2,27.66,57750,163988942.0,5.5,-0.68,-0.19,14.42
2023-01-09,688147,28.23,28.03,29.4,27.86,51139,145855127.0,5.54,0.79,0.22,12.77
2023-01-10,688147,28.08,29.09,29.75,27.9,52697,153252948.0,6.6,3.78,1.06,13.16
2023-01-11,688147,28.98,28.99,29.76,28.5,31799,91728356.0,4.33,-0.34,-0.1,7.94
2023-01-12,688147,29.2,29.22,29.56,28.0,40297,116910152.0,5.38,0.79,0.23,10.06
2023-01-13,688147,29.26,29.34,29.58,28.8,22379,65408512.0,2.67,0.41,0.12,5.59
2023-01-16,688147,29.31,29.84,30.88,28.62,35913,106842700.0,7.7,1.7,0.5,8.97
2023-01-17,688147,30.05,29.48,30.8,29.18,37156,110752643.0,5.43,-1.21,-0.36,9.28
2023-01-18,688147,29.5,31.02,31.03,29.14,41345,125611835.0,6.41,5.22,1.54,10.32
2023-01-19,688147,32.5,32.5,33.25,30.62,52693,168935859.0,8.48,4.77,1.48,13.16
2023-01-20,688147,32.25,31.2,33.26,30.83,40491,127245779.0,7.48,-4.0,-1.3,10.11
2023-01-30,688147,31.67,31.01,32.04,30.5,36685,114565990.0,4.94,-0.61,-0.19,9.16
2023-01-31,688147,31.09,32.0,32.69,30.88,44001,139908588.0,5.84,3.19,0.99,10.99
2023-02-01,688147,32.2,31.75,32.75,31.1,38363,122008603.0,5.16,-0.78,-0.25,9.58
2023-02-02,688147,33.01,38.1,38.1,32.6,92211,337332108.0,17.32,20.0,6.35,23.03
2023-02-03,688147,37.0,38.82,39.98,36.49,127550,489630756.0,9.16,1.89,0.72,31.85
2023-02-06,688147,38.48,36.6,39.66,36.1,73957,273775336.0,9.17,-5.72,-2.22,18.47
2023-02-07,688147,36.83,40.49,41.3,36.83,106077,409839924.0,12.21,10.63,3.89,26.49
2023-02-08,688147,39.49,38.48,39.6,37.88,70853,272978992.0,4.25,-4.96,-2.01,17.69
2023-02-09,688147,37.87,37.6,38.17,36.88,64403,240869462.0,3.35,-2.29,-0.88,16.08
2023-02-10,688147,37.5,37.12,38.0,36.37,46908,173971305.0,4.34,-1.28,-0.48,11.71
2023-02-13,688147,36.98,37.35,38.17,36.33,46539,173008898.0,4.96,0.62,0.23,11.62
2023-02-14,688147,37.01,38.36,38.5,36.58,53018,200167082.0,5.14,2.7,1.01,13.24
2023-02-15,688147,38.18,37.72,38.34,36.72,43896,164638496.0,4.22,-1.67,-0.64,10.96
2023-02-16,688147,37.2,35.42,38.13,35.3,51592,188598288.0,7.5,-6.1,-2.3,12.88
2023-02-17,688147,35.48,35.2,36.38,35.1,33420,119094721.0,3.61,-0.62,-0.22,8.35
2023-02-20,688147,35.2,35.04,35.76,34.0,33380,116212991.0,5.0,-0.45,-0.16,8.34
2023-02-21,688147,35.04,34.38,35.33,34.0,32627,112786336.0,3.8,-1.88,-0.66,8.15
2023-02-22,688147,34.2,34.57,35.0,33.92,20758,71614417.0,3.14,0.55,0.19,5.18
2023-02-23,688147,34.5,34.74,35.75,34.5,31514,110249667.0,3.62,0.49,0.17,7.87
2023-02-24,688147,35.0,35.09,35.47,34.75,24028,84436792.0,2.07,1.01,0.35,6.0
2023-02-27,688147,34.81,33.6,35.55,33.4,43411,149346934.0,6.13,-4.25,-1.49,10.84
2023-02-28,688147,33.8,33.42,34.56,32.9,50711,170254739.0,4.94,-0.54,-0.18,12.66
2023-03-01,688147,33.43,33.45,33.88,33.03,28316,94658481.0,2.54,0.09,0.03,7.07
2023-03-02,688147,33.46,32.21,33.66,31.97,37694,122802075.0,5.05,-3.71,-1.24,9.41
2023-03-03,688147,32.48,32.26,33.35,32.04,25370,82708623.0,4.07,0.16,0.05,6.33
2023-03-06,688147,32.66,33.87,34.48,31.78,51152,169835162.0,8.37,4.99,1.61,12.77
2023-03-07,688147,33.69,32.35,33.7,32.3,31530,104309176.0,4.13,-4.49,-1.52,7.87
2023-03-08,688147,32.35,32.81,33.4,32.25,20220,66213657.0,3.55,1.42,0.46,5.05
2023-03-09,688147,32.81,33.6,34.36,32.49,42594,143013593.0,5.7,2.41,0.79,10.64
2023-03-10,688147,34.0,34.99,35.88,33.8,66230,231506539.0,6.19,4.14,1.39,16.54
2023-03-13,688147,34.38,34.15,35.1,33.42,40314,137106912.0,4.8,-2.4,-0.84,10.07
2023-03-14,688147,34.26,33.97,34.26,32.42,40536,135490570.0,5.39,-0.53,-0.18,10.12
2023-03-15,688147,34.54,34.13,35.97,33.8,46050,161243232.0,6.39,0.47,0.16,11.5
2023-03-16,688147,33.51,32.47,34.7,32.06,40844,135485642.0,7.74,-4.86,-1.66,10.2
2023-03-17,688147,32.0,31.81,32.71,31.1,42935,136187783.0,4.96,-2.03,-0.66,10.72
2023-03-20,688147,31.72,32.77,33.2,30.48,46129,147772757.0,8.55,3.02,0.96,11.52
2023-03-21,688147,32.52,33.11,33.25,32.04,23543,77078557.0,3.69,1.04,0.34,5.88
2023-03-22,688147,32.89,32.7,33.86,32.45,26619,88041265.0,4.26,-1.24,-0.41,6.65
2023-03-23,688147,32.99,33.38,33.6,32.5,26674,88081195.0,3.36,2.08,0.68,6.66
2023-03-24,688147,33.68,33.95,34.98,33.2,44776,153069488.0,5.33,1.71,0.57,11.18
2023-03-27,688147,33.58,35.07,35.27,33.33,42282,146268805.0,5.71,3.3,1.12,10.56
2023-03-28,688147,34.6,34.51,35.33,34.38,28089,97668404.0,2.71,-1.6,-0.56,7.01
2023-03-29,688147,34.34,35.62,36.78,34.34,52451,187071328.0,7.07,3.22,1.11,13.1
2023-03-30,688147,35.76,35.43,37.48,35.41,55693,202670917.0,5.81,-0.53,-0.19,13.91
2023-03-31,688147,35.1,35.49,36.37,35.0,28719,102390884.0,3.87,0.17,0.06,7.17
2023-04-03,688147,35.8,36.36,36.89,35.6,37909,137509176.0,3.63,2.45,0.87,9.47
2023-04-04,688147,36.3,35.76,36.6,35.22,40113,143813995.0,3.8,-1.65,-0.6,10.02
2023-04-06,688147,35.77,38.09,39.16,35.5,59831,224910073.0,10.23,6.52,2.33,14.94
2023-04-07,688147,37.5,38.3,38.55,37.11,37677,142350817.0,3.78,0.55,0.21,9.41
2023-04-10,688147,38.0,37.6,39.08,36.91,31785,120101987.0,5.67,-1.83,-0.7,7.94
2023-04-11,688147,37.65,39.38,39.7,37.0,44631,172163520.0,7.18,4.73,1.78,11.14
2023-04-12,688147,39.28,46.52,47.25,39.28,85383,373771031.0,20.24,18.13,7.14,21.32
2023-04-13,688147,45.01,45.02,46.7,44.2,52584,239190227.0,5.37,-3.22,-1.5,13.13
2023-04-14,688147,45.66,53.66,54.01,44.6,88706,437855519.0,20.9,19.19,8.64,22.15
2023-04-17,688147,53.9,53.41,59.83,51.65,96050,523454933.0,15.24,-0.47,-0.25,23.98
2023-04-18,688147,52.28,49.43,53.0,48.48,71803,358760810.0,8.46,-7.45,-3.98,17.93
2023-04-19,688147,49.93,49.66,51.66,49.31,58346,294351047.0,4.75,0.47,0.23,14.57
2023-04-20,688147,48.06,52.5,54.18,48.0,72041,372316054.0,12.44,5.72,2.84,17.99
2023-04-21,688147,51.7,49.1,51.8,48.6,42973,214775532.0,6.1,-6.48,-3.4,10.73
2023-04-24,688147,47.7,51.99,53.3,47.0,53507,267761205.0,12.83,5.89,2.89,13.36
2023-04-25,688147,51.74,54.28,55.49,49.34,72985,383569730.0,11.83,4.4,2.29,18.22
2023-04-26,688147,52.56,50.16,52.56,47.56,57531,288359924.0,9.21,-7.59,-4.12,14.37
2023-04-27,688147,50.8,52.0,53.73,48.68,44104,228637207.0,10.07,3.67,1.84,11.01
2023-04-28,688147,51.44,53.04,55.98,50.52,40986,219867426.0,10.5,2.0,1.04,10.23
2023-05-04,688147,51.56,49.7,52.43,48.86,40102,201118656.0,6.73,-6.3,-3.34,10.01
2023-05-05,688147,48.58,48.5,50.1,47.7,33397,162610199.0,4.83,-2.41,-1.2,8.34
2023-05-08,688147,47.85,46.0,48.88,45.9,39368,184523659.0,6.14,-5.15,-2.5,9.83
2023-05-09,688147,45.22,45.35,47.1,44.22,28009,127411166.0,6.26,-1.41,-0.65,6.99
