日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-07-22,688800,68.0,95.5,99.69,68.0,173001,1539186848.0,210.99,535.82,80.48,78.74
2021-07-23,688800,90.98,90.75,92.99,83.5,68395,608288768.0,9.94,-4.97,-4.75,31.13
2021-07-26,688800,91.0,82.8,92.74,81.5,41749,365401104.0,12.39,-8.76,-7.95,19.0
2021-07-27,688800,83.0,72.5,83.8,70.33,36393,282062208.0,16.27,-12.44,-10.3,16.56
2021-07-28,688800,72.5,76.7,79.7,69.05,18940,142485141.0,14.69,5.79,4.2,8.62
2021-07-29,688800,76.0,92.04,92.04,76.0,33390,280779536.0,20.91,20.0,15.34,15.2
2021-07-30,688800,98.0,100.0,102.8,93.1,48201,474633072.0,10.54,8.65,7.96,21.94
2021-08-02,688800,97.0,93.63,99.86,85.3,34519,321095312.0,14.56,-6.37,-6.37,15.71
2021-08-03,688800,91.08,84.4,91.7,82.78,25381,217945436.0,9.53,-9.86,-9.23,11.55
2021-08-04,688800,85.0,88.19,89.57,82.82,23761,206173888.0,8.0,4.49,3.79,10.81
2021-08-05,688800,89.18,88.8,94.66,87.02,35125,318407520.0,8.66,0.69,0.61,15.99
2021-08-06,688800,89.13,87.9,92.0,85.18,25266,222816469.0,7.68,-1.01,-0.9,11.5
2021-08-09,688800,85.88,84.0,86.98,78.75,25299,206744028.0,9.36,-4.44,-3.9,11.51
2021-08-10,688800,82.23,90.47,90.71,81.38,26226,227034523.0,11.11,7.7,6.47,11.94
2021-08-11,688800,89.2,94.44,95.87,86.11,25685,237932612.0,10.79,4.39,3.97,11.69
2021-08-12,688800,93.4,98.79,100.98,92.57,23266,226040274.0,8.91,4.61,4.35,10.59
2021-08-13,688800,100.79,95.55,108.02,94.41,26842,265072937.0,13.78,-3.28,-3.24,12.22
2021-08-16,688800,96.05,93.5,97.25,89.66,14515,133522658.0,7.94,-2.15,-2.05,6.61
2021-08-17,688800,92.0,88.89,94.47,88.2,6676,61025674.0,6.71,-4.93,-4.61,3.04
2021-08-18,688800,89.2,85.0,90.72,82.06,12322,104252141.0,9.74,-4.38,-3.89,5.61
2021-08-19,688800,84.25,87.5,88.33,82.51,6062,52262749.0,6.85,2.94,2.5,2.76
2021-08-20,688800,89.0,84.36,91.08,83.01,7988,68657913.0,9.22,-3.59,-3.14,3.64
2021-08-23,688800,85.83,90.47,94.49,83.01,34538,312109856.0,13.61,7.24,6.11,15.72
2021-08-24,688800,94.31,93.77,94.31,89.76,21691,199369570.0,5.03,3.65,3.3,9.87
2021-08-25,688800,93.77,92.08,97.66,91.51,18036,169637294.0,6.56,-1.8,-1.69,8.21
2021-08-26,688800,93.1,88.3,93.92,88.0,9672,88386009.0,6.43,-4.11,-3.78,4.4
2021-08-27,688800,86.0,90.1,90.88,84.03,11900,104114635.0,7.76,2.04,1.8,5.42
2021-08-30,688800,87.97,95.87,96.67,87.78,14185,133086757.0,9.87,6.4,5.77,6.46
2021-08-31,688800,96.11,93.81,97.65,92.0,9635,91143920.0,5.89,-2.15,-2.06,4.39
2021-09-01,688800,93.26,91.98,93.66,88.58,9261,84037300.0,5.42,-1.95,-1.83,4.22
2021-09-02,688800,90.11,88.88,90.2,87.28,10512,93019638.0,3.17,-3.37,-3.1,4.78
2021-09-03,688800,88.0,86.73,90.79,86.15,5197,45734371.0,5.22,-2.42,-2.15,2.37
2021-09-06,688800,87.0,87.97,91.38,86.18,7760,68278511.0,6.0,1.43,1.24,3.53
2021-09-07,688800,89.3,82.5,89.3,78.0,18551,152558882.0,12.85,-6.22,-5.47,8.44
2021-09-08,688800,81.5,81.67,82.7,79.35,7274,58813651.0,4.06,-1.01,-0.83,3.31
2021-09-09,688800,80.75,78.68,81.48,78.25,5451,43285896.0,3.95,-3.66,-2.99,2.48
2021-09-10,688800,78.0,76.31,79.26,73.21,9440,71647285.0,7.69,-3.01,-2.37,4.3
2021-09-13,688800,76.66,77.97,79.39,73.21,7489,57326526.0,8.1,2.18,1.66,3.41
2021-09-14,688800,78.88,76.69,79.27,75.9,5854,45453980.0,4.32,-1.64,-1.28,2.66
2021-09-15,688800,76.66,76.68,77.66,73.06,6843,51567321.0,6.0,-0.01,-0.01,3.11
2021-09-16,688800,77.55,77.53,78.12,74.41,5286,40414340.0,4.84,1.11,0.85,2.41
2021-09-17,688800,78.38,74.69,78.52,74.0,6412,48550261.0,5.83,-3.66,-2.84,2.92
2021-09-22,688800,74.0,78.4,80.33,70.55,10259,80100992.0,13.09,4.97,3.71,4.67
2021-09-23,688800,79.44,80.0,81.05,75.85,7088,55414441.0,6.63,2.04,1.6,3.23
2021-09-24,688800,79.01,77.5,79.42,76.12,5639,43886552.0,4.13,-3.13,-2.5,2.57
2021-09-27,688800,75.22,75.98,77.51,75.0,3455,26182301.0,3.24,-1.96,-1.52,1.57
2021-09-28,688800,75.13,75.36,76.16,74.52,1423,10684647.0,2.16,-0.82,-0.62,0.65
2021-09-29,688800,76.5,67.89,76.5,66.9,6055,42672679.0,12.74,-9.91,-7.47,2.76
2021-09-30,688800,67.77,68.7,70.76,67.21,8346,57465017.0,5.23,1.19,0.81,3.8
2021-10-08,688800,73.37,73.27,75.22,71.69,3587,26213912.0,5.14,6.65,4.57,1.63
2021-10-11,688800,73.75,71.79,73.87,69.89,6268,44404050.0,5.43,-2.02,-1.48,2.85
2021-10-12,688800,71.16,73.4,74.64,70.39,5003,36648654.0,5.92,2.24,1.61,2.28
2021-10-13,688800,72.03,72.08,73.02,71.01,2233,16063047.0,2.74,-1.8,-1.32,1.02
2021-10-14,688800,73.5,70.8,73.5,70.59,3162,22710240.0,4.04,-1.78,-1.28,1.44
2021-10-15,688800,72.0,71.01,72.7,70.51,4307,30871481.0,3.09,0.3,0.21,1.96
2021-10-18,688800,71.99,72.99,74.68,71.23,3396,24768611.0,4.86,2.79,1.98,1.55
2021-10-19,688800,71.6,81.87,85.0,71.6,13585,107174843.0,18.36,12.17,8.88,6.18
2021-10-20,688800,81.0,81.98,83.5,78.24,7692,62536468.0,6.42,0.13,0.11,3.5
2021-10-21,688800,83.0,84.2,86.48,79.0,7551,63769785.0,9.12,2.71,2.22,3.44
2021-10-22,688800,84.18,80.65,84.18,80.11,4083,33393482.0,4.83,-4.22,-3.55,1.86
2021-10-25,688800,79.99,77.99,80.99,77.6,6474,51050039.0,4.2,-3.3,-2.66,2.95
2021-10-26,688800,78.99,81.58,82.56,75.99,8422,65638463.0,8.42,4.6,3.59,3.83
2021-10-27,688800,82.9,77.3,82.9,77.19,6305,49274806.0,7.0,-5.25,-4.28,2.87
2021-10-28,688800,77.88,77.0,77.88,72.0,12288,92137389.0,7.61,-0.39,-0.3,5.59
2021-10-29,688800,80.0,85.93,89.89,79.99,22387,190060653.0,12.86,11.6,8.93,10.19
2021-11-01,688800,86.39,91.7,94.44,85.85,17959,164785920.0,10.0,6.71,5.77,8.17
2021-11-02,688800,91.59,89.47,95.9,88.16,19725,182267743.0,8.44,-2.43,-2.23,8.98
2021-11-03,688800,92.34,90.2,94.65,88.99,9991,91692534.0,6.33,0.82,0.73,4.55
2021-11-04,688800,90.68,100.44,103.19,90.68,14667,142478292.0,13.87,11.35,10.24,6.68
2021-11-05,688800,101.05,99.74,107.44,97.0,18415,186704348.0,10.39,-0.7,-0.7,8.38
2021-11-08,688800,98.57,105.51,108.15,94.44,22060,220227349.0,13.75,5.79,5.77,10.04
2021-11-09,688800,107.0,102.0,108.78,100.2,15357,158576128.0,8.13,-3.33,-3.51,6.99
2021-11-10,688800,101.58,102.44,109.79,99.27,24800,258713485.0,10.31,0.43,0.44,11.29
2021-11-11,688800,102.44,109.52,114.21,102.44,19459,212051852.0,11.49,6.91,7.08,8.86
2021-11-12,688800,109.79,127.0,128.19,108.5,16162,193867220.0,17.98,15.96,17.48,7.36
2021-11-15,688800,131.99,124.34,131.99,119.1,23301,289089824.0,10.15,-2.09,-2.66,10.61
2021-11-16,688800,126.0,119.27,127.8,116.81,22995,277550832.0,8.84,-4.08,-5.07,10.47
2021-11-17,688800,119.27,121.7,127.09,118.21,12056,147763856.0,7.45,2.04,2.43,5.49
2021-11-18,688800,122.91,120.3,124.88,116.0,21851,259853288.0,7.3,-1.15,-1.4,9.95
2021-11-19,688800,118.0,121.2,123.37,116.85,9194,110768871.0,5.42,0.75,0.9,4.18
2021-11-22,688800,120.73,126.43,128.48,119.0,15514,191891889.0,7.82,4.32,5.23,7.06
2021-11-23,688800,126.37,120.16,128.0,114.96,22662,269239744.0,10.31,-4.96,-6.27,10.31
2021-11-24,688800,117.8,122.22,128.66,116.4,21300,263485180.0,10.2,1.71,2.06,9.69
2021-11-25,688800,125.35,122.8,126.79,117.59,8126,99413892.0,7.53,0.47,0.58,3.7
2021-11-26,688800,121.98,131.5,134.38,121.35,13210,172752327.0,10.61,7.08,8.7,6.01
2021-11-29,688800,130.47,131.52,136.5,127.88,8247,108266932.0,6.56,0.02,0.02,3.75
2021-11-30,688800,134.55,135.0,139.86,126.33,13986,185796195.0,10.29,2.65,3.48,6.37
2021-12-01,688800,134.5,130.45,134.5,127.35,20812,269647760.0,5.3,-3.37,-4.55,9.47
2021-12-02,688800,128.0,128.24,131.88,127.0,5438,70474681.0,3.74,-1.69,-2.21,2.48
2021-12-03,688800,129.56,136.0,136.5,127.05,8204,109206540.0,7.37,6.05,7.76,3.73
2021-12-06,688800,133.43,128.9,135.01,127.89,8510,110795683.0,5.24,-5.22,-7.1,3.87
2021-12-07,688800,128.9,122.0,132.8,117.0,16156,195787919.0,12.26,-5.35,-6.9,7.35
2021-12-08,688800,123.83,122.05,124.99,120.0,5806,71142478.0,4.09,0.04,0.05,2.64
2021-12-09,688800,122.57,118.08,122.57,117.31,7458,88534760.0,4.31,-3.25,-3.97,3.39
2021-12-10,688800,115.67,120.48,124.93,115.67,6695,80479201.0,7.84,2.03,2.4,3.05
2021-12-13,688800,122.29,117.88,122.29,116.0,9987,117271579.0,5.22,-2.16,-2.6,4.55
2021-12-14,688800,118.9,127.34,129.99,117.43,9582,119199677.0,10.65,8.03,9.46,4.36
2021-12-15,688800,127.34,139.8,142.33,123.86,12017,162305479.0,14.5,9.78,12.46,5.47
2021-12-16,688800,139.82,134.24,142.11,132.8,6793,91848389.0,6.66,-3.98,-5.56,3.09
2021-12-17,688800,132.09,132.2,135.6,130.0,5091,67270322.0,4.17,-1.52,-2.04,2.32
2021-12-20,688800,133.52,129.53,134.41,125.35,6976,90145432.0,6.85,-2.02,-2.67,3.18
2021-12-21,688800,129.41,141.5,142.74,125.77,8387,112506271.0,13.1,9.24,11.97,3.82
2021-12-22,688800,138.74,138.2,149.9,137.31,9316,132225175.0,8.9,-2.33,-3.3,4.24
2021-12-23,688800,134.8,147.17,148.5,132.29,9373,133895109.0,11.73,6.49,8.97,4.27
2021-12-24,688800,147.4,142.8,149.4,141.5,6589,95262914.0,5.37,-2.97,-4.37,3.0
2021-12-27,688800,140.11,138.77,143.43,136.18,6030,84506378.0,5.08,-2.82,-4.03,2.74
2021-12-28,688800,138.23,144.68,145.15,137.46,3075,44031968.0,5.54,4.26,5.91,1.4
2021-12-29,688800,145.19,150.2,152.0,137.0,7323,107617476.0,10.37,3.82,5.52,3.33
2021-12-30,688800,145.91,146.0,151.31,144.39,5492,80811757.0,4.61,-2.8,-4.2,2.5
2021-12-31,688800,145.37,139.28,149.0,137.5,7410,104838336.0,7.88,-4.6,-6.72,3.32
2022-01-04,688800,137.0,130.5,139.35,127.01,9215,120595093.0,8.86,-6.3,-8.78,4.13
2022-01-05,688800,128.29,127.01,130.49,121.23,7449,93402640.0,7.1,-2.67,-3.49,3.34
2022-01-06,688800,124.84,131.27,132.86,123.5,9994,127728688.0,7.37,3.35,4.26,4.48
2022-01-07,688800,130.15,126.24,132.66,122.83,6594,83375462.0,7.49,-3.83,-5.03,2.96
2022-01-10,688800,128.13,120.04,128.13,117.89,8193,98621242.0,8.11,-4.91,-6.2,3.68
2022-01-11,688800,118.45,120.96,123.2,117.38,6377,77238150.0,4.85,0.77,0.92,2.86
2022-01-12,688800,122.77,135.91,136.79,120.73,7399,95789205.0,13.28,12.36,14.95,3.32
2022-01-13,688800,139.7,137.1,140.04,131.55,10998,150301536.0,6.25,0.88,1.19,4.93
2022-01-14,688800,136.25,141.2,150.85,135.0,9980,144020566.0,11.56,2.99,4.1,4.48
2022-01-17,688800,141.98,147.15,156.86,139.96,13566,202747020.0,11.97,4.21,5.95,6.09
2022-01-18,688800,147.24,140.48,147.76,140.0,8049,114302326.0,5.27,-4.53,-6.67,3.61
2022-01-19,688800,139.66,142.8,145.78,135.6,5725,79754892.0,7.25,1.65,2.32,2.57
2022-01-20,688800,139.8,137.5,142.59,133.42,6624,91481169.0,6.42,-3.71,-5.3,2.97
2022-01-21,688800,137.78,129.41,140.37,128.21,6549,86145455.0,8.84,-5.88,-8.09,2.94
2022-01-24,688800,122.38,122.76,127.19,118.01,15957,195850673.0,7.09,-5.14,-6.65,6.95
2022-01-25,688800,115.56,121.5,127.87,115.5,9674,118259223.0,10.08,-1.03,-1.26,4.22
2022-01-26,688800,121.5,116.68,126.5,112.51,19469,228196541.0,11.51,-3.97,-4.82,8.48
2022-01-27,688800,115.03,116.35,120.0,113.0,8052,93655542.0,6.0,-0.28,-0.33,3.51
2022-01-28,688800,116.23,110.0,119.5,108.1,14103,156963704.0,9.8,-5.46,-6.35,6.15
2022-02-07,688800,113.0,105.37,114.0,103.45,12523,133556115.0,9.59,-4.21,-4.63,5.46
2022-02-08,688800,105.37,101.76,105.37,99.33,12048,121940206.0,5.73,-3.43,-3.61,5.25
2022-02-09,688800,103.29,104.98,107.29,99.1,8659,89012219.0,8.05,3.16,3.22,3.77
2022-02-10,688800,109.62,99.5,109.62,96.69,11627,115644666.0,12.32,-5.22,-5.48,5.07
2022-02-11,688800,97.62,97.86,102.66,96.15,8547,84747477.0,6.54,-1.65,-1.64,3.72
2022-02-14,688800,98.0,100.38,103.72,92.51,9674,97431698.0,11.46,2.58,2.52,4.22
2022-02-15,688800,101.89,104.15,105.0,98.77,5618,57856736.0,6.21,3.76,3.77,2.45
2022-02-16,688800,104.15,103.22,104.3,98.63,4883,49849801.0,5.44,-0.89,-0.93,2.13
2022-02-17,688800,102.59,109.44,111.19,101.7,9666,104857012.0,9.19,6.03,6.22,4.21
2022-02-18,688800,107.68,107.71,112.7,104.6,6463,70058068.0,7.4,-1.58,-1.73,2.82
2022-02-21,688800,107.6,105.11,108.77,104.4,2929,31145637.0,4.06,-2.41,-2.6,1.28
2022-02-22,688800,104.3,100.64,104.56,98.92,8734,88199517.0,5.37,-4.25,-4.47,3.81
2022-02-23,688800,100.64,108.35,109.77,100.37,7841,83549357.0,9.34,7.66,7.71,3.42
2022-02-24,688800,108.35,110.02,113.05,105.99,7319,80005228.0,6.52,1.54,1.67,3.19
2022-02-25,688800,112.5,111.21,112.5,106.68,6418,70594501.0,5.29,1.08,1.19,2.8
2022-02-28,688800,110.28,108.11,111.84,105.7,5578,60299002.0,5.52,-2.79,-3.1,2.43
2022-03-01,688800,108.5,111.99,113.6,105.0,5455,60034759.0,7.95,3.59,3.88,2.38
2022-03-02,688800,110.21,105.87,110.25,105.87,3188,34427927.0,3.91,-5.46,-6.12,1.39
2022-03-03,688800,105.5,99.99,106.85,97.49,12456,124332117.0,8.84,-5.55,-5.88,5.43
2022-03-04,688800,100.24,95.54,100.74,95.0,10808,105332031.0,5.74,-4.45,-4.45,4.71
2022-03-07,688800,96.4,88.5,96.91,86.6,13898,123936619.0,10.79,-7.37,-7.04,6.06
2022-03-08,688800,88.92,91.47,93.88,87.68,13421,122297645.0,7.01,3.36,2.97,5.85
2022-03-09,688800,95.8,90.22,95.8,88.0,8982,81454483.0,8.53,-1.37,-1.25,3.91
2022-03-10,688800,92.39,97.1,99.67,92.39,12514,122015526.0,8.07,7.63,6.88,5.45
2022-03-11,688800,96.5,95.45,99.18,92.5,6538,62138322.0,6.88,-1.7,-1.65,2.85
2022-03-14,688800,93.38,92.71,94.61,91.16,6028,56025930.0,3.61,-2.87,-2.74,2.63
2022-03-15,688800,92.0,89.4,94.37,88.49,7803,71511240.0,6.34,-3.57,-3.31,3.4
2022-03-16,688800,92.0,97.66,100.8,88.11,10946,104022771.0,14.19,9.24,8.26,4.77
2022-03-17,688800,100.17,102.21,107.36,98.79,16504,170445053.0,8.78,4.66,4.55,7.19
2022-03-18,688800,105.0,100.08,105.01,98.5,8025,80634896.0,6.37,-2.08,-2.13,3.5
2022-03-21,688800,100.08,101.79,104.0,97.2,8228,82691898.0,6.79,1.71,1.71,3.59
2022-03-22,688800,98.63,103.09,105.0,98.05,5129,52302430.0,6.83,1.28,1.3,2.23
2022-03-23,688800,103.3,104.97,107.9,99.31,7216,74941406.0,8.33,1.82,1.88,3.14
2022-03-24,688800,116.98,104.8,116.98,101.66,13211,143017077.0,14.59,-0.16,-0.17,5.76
2022-03-25,688800,104.91,110.0,112.0,102.01,12189,129605523.0,9.53,4.96,5.2,5.31
2022-03-28,688800,108.94,111.95,113.83,105.55,7244,80214595.0,7.53,1.77,1.95,3.16
2022-03-29,688800,113.88,109.3,113.89,108.74,4271,47201876.0,4.6,-2.37,-2.65,1.86
2022-03-30,688800,110.0,117.8,117.8,107.29,6487,73890909.0,9.62,7.78,8.5,2.83
2022-03-31,688800,117.8,114.77,120.0,112.6,4259,49442729.0,6.28,-2.57,-3.03,1.86
2022-04-01,688800,113.99,109.55,114.5,108.31,4703,51756214.0,5.39,-4.55,-5.22,2.05
2022-04-06,688800,109.55,100.0,109.55,98.37,7325,74718900.0,10.21,-8.72,-9.55,3.19
2022-04-07,688800,99.49,93.59,100.0,93.0,11621,110199751.0,7.0,-6.41,-6.41,5.06
2022-04-08,688800,93.69,91.09,96.98,90.77,7480,69680455.0,6.64,-2.67,-2.5,3.26
2022-04-11,688800,95.64,84.44,95.64,84.01,11924,103996731.0,12.77,-7.3,-6.65,5.2
2022-04-12,688800,85.2,85.62,87.98,81.04,7793,66053941.0,8.22,1.4,1.18,3.4
2022-04-13,688800,85.89,82.5,85.89,81.66,7927,66337166.0,4.94,-3.64,-3.12,3.45
2022-04-14,688800,84.0,82.0,85.78,81.27,5217,43478232.0,5.47,-0.61,-0.5,2.27
2022-04-15,688800,81.98,90.0,90.63,68.94,12924,109955012.0,26.45,9.76,8.0,5.63
2022-04-18,688800,91.0,96.19,97.7,85.38,12419,114050966.0,13.69,6.88,6.19,5.41
2022-04-19,688800,94.94,92.45,99.17,92.0,11114,106314734.0,7.45,-3.89,-3.74,4.84
2022-04-20,688800,93.96,92.2,95.97,91.1,4667,43504611.0,5.27,-0.27,-0.25,2.03
2022-04-21,688800,90.76,91.77,95.95,90.76,5913,54990297.0,5.63,-0.47,-0.43,2.58
2022-04-22,688800,91.0,88.04,91.2,87.3,3994,35423332.0,4.25,-4.06,-3.73,1.74
2022-04-25,688800,85.35,79.0,87.06,78.4,3637,30051674.0,9.84,-10.27,-9.04,1.58
2022-04-26,688800,76.63,81.01,83.0,76.63,4337,34748922.0,8.06,2.54,2.01,1.89
2022-04-27,688800,78.6,84.89,87.0,75.5,5748,46728699.0,14.2,4.79,3.88,2.5
2022-04-28,688800,83.61,81.5,83.64,77.64,7722,61560278.0,7.07,-3.99,-3.39,3.36
2022-04-29,688800,87.9,97.8,97.8,83.05,16756,151169883.0,18.1,20.0,16.3,7.3
2022-05-05,688800,97.97,104.58,106.0,97.97,12594,129407876.0,8.21,6.93,6.78,5.49
2022-05-06,688800,101.58,103.5,108.5,100.58,7933,82967827.0,7.57,-1.03,-1.08,3.46
2022-05-09,688800,101.2,106.5,107.98,101.2,4674,49591778.0,6.55,2.9,3.0,2.04
2022-05-10,688800,103.03,108.62,110.58,102.98,7049,75952502.0,7.14,1.99,2.12,3.07
2022-05-11,688800,105.36,109.37,115.0,105.36,5697,63440958.0,8.87,0.69,0.75,2.48
2022-05-12,688800,110.05,107.62,113.11,104.0,7790,82998172.0,8.33,-1.6,-1.75,3.39
2022-05-13,688800,107.62,108.0,109.48,104.63,5011,53579052.0,4.51,0.35,0.38,2.18
2022-05-16,688800,108.96,105.0,110.53,104.83,4170,44714673.0,5.28,-2.78,-3.0,1.82
2022-05-17,688800,105.51,108.0,109.13,104.73,5370,57499955.0,4.19,2.86,3.0,2.34
2022-05-18,688800,108.0,108.56,110.0,105.5,3654,39325927.0,4.17,0.52,0.56,1.59
2022-05-19,688800,105.19,109.09,112.99,105.19,5869,64380074.0,7.18,0.49,0.53,2.56
2022-05-20,688800,107.5,109.13,112.55,106.5,4073,44475691.0,5.55,0.04,0.04,1.77
2022-05-23,688800,108.64,109.36,110.52,105.0,4176,44976437.0,5.06,0.21,0.23,1.82
2022-05-24,688800,109.04,105.9,114.6,103.6,5296,57972145.0,10.06,-3.16,-3.46,2.31
2022-05-25,688800,105.5,103.57,107.5,101.3,3858,40017020.0,5.85,-2.2,-2.33,1.68
2022-05-26,688800,103.83,104.64,106.52,100.26,3163,32757683.0,6.04,1.03,1.07,1.38
2022-05-27,688800,105.0,101.37,107.52,99.1,4977,50968583.0,8.05,-3.13,-3.27,2.17
2022-05-30,688800,102.29,101.64,102.29,97.88,6319,63011534.0,4.35,0.27,0.27,2.75
2022-05-31,688800,100.6,103.0,104.14,98.09,4753,48263526.0,5.95,1.34,1.36,2.07
2022-06-01,688800,102.1,106.5,108.84,102.03,7737,82100759.0,6.61,3.4,3.5,3.37
2022-06-02,688800,105.0,115.19,117.0,103.9,10980,122764654.0,12.3,8.16,8.69,4.78
2022-06-06,688800,117.0,118.56,126.36,114.2,14947,180414929.0,10.56,2.93,3.37,6.51
2022-06-07,688800,118.01,120.05,121.16,114.0,10937,129176339.0,6.04,1.26,1.49,4.77
2022-06-08,688800,121.0,114.8,121.0,112.01,8676,100262235.0,7.49,-4.37,-5.25,3.78
2022-06-09,688800,113.13,111.3,114.57,108.8,5589,62195876.0,5.03,-3.05,-3.5,2.44
2022-06-10,688800,111.0,117.21,118.5,110.0,5994,69370211.0,7.64,5.31,5.91,2.61
2022-06-13,688800,116.11,123.99,126.33,114.85,9994,122107600.0,9.79,5.78,6.78,4.35
2022-06-14,688800,125.0,123.06,125.0,116.74,7912,95594469.0,6.66,-0.75,-0.93,3.45
2022-06-15,688800,125.2,119.33,126.5,119.0,4830,58682100.0,6.09,-3.03,-3.73,2.1
2022-06-16,688800,119.0,116.94,120.69,115.7,9243,108475304.0,4.18,-2.0,-2.39,4.03
2022-06-17,688800,115.42,118.73,121.19,114.98,9958,118072913.0,5.31,1.53,1.79,4.34
2022-06-20,688800,117.0,118.99,126.8,117.0,13077,160445289.0,8.25,0.22,0.26,5.7
2022-06-21,688800,120.0,116.81,122.71,114.45,8663,102125317.0,6.94,-1.83,-2.18,3.77
2022-06-22,688800,117.51,118.6,124.0,115.73,13921,168851446.0,7.08,1.53,1.79,6.07
2022-06-23,688800,121.0,131.77,133.99,119.48,16341,208732722.0,12.23,11.1,13.17,7.12
2022-06-24,688800,132.13,131.8,135.99,128.0,11509,152005606.0,6.06,0.02,0.03,5.01
2022-06-27,688800,132.0,127.5,134.15,125.32,17372,223729979.0,6.7,-3.26,-4.3,7.57
2022-06-28,688800,126.51,127.5,129.41,123.67,9626,121802788.0,4.5,0.0,0.0,4.19
2022-06-29,688800,125.05,121.27,128.3,121.08,8824,109397122.0,5.66,-4.89,-6.23,3.84
2022-06-30,688800,121.27,126.31,130.18,120.2,10760,136732797.0,8.23,4.16,5.04,4.69
2022-07-01,688800,126.31,126.33,132.89,123.2,10668,136472929.0,7.67,0.02,0.02,4.65
2022-07-04,688800,129.99,124.8,130.85,118.61,11386,141981758.0,9.69,-1.21,-1.53,4.96
2022-07-05,688800,125.98,124.52,127.0,120.5,8792,107962906.0,5.21,-0.22,-0.28,3.83
2022-07-06,688800,124.75,123.98,126.9,120.76,7270,89747078.0,4.93,-0.43,-0.54,3.17
2022-07-07,688800,124.62,139.3,141.5,122.06,22610,298783696.0,15.68,12.36,15.32,9.85
2022-07-08,688800,139.3,132.02,143.48,131.5,10908,148596333.0,8.6,-5.23,-7.28,4.75
2022-07-11,688800,130.05,137.0,139.44,127.0,11221,149669870.0,9.42,3.77,4.98,4.89
2022-07-12,688800,135.66,136.48,141.68,133.66,7339,100525615.0,5.85,-0.38,-0.52,3.2
2022-07-13,688800,137.88,135.0,138.66,131.08,4456,60078168.0,5.55,-1.08,-1.48,1.94
2022-07-14,688800,135.43,144.0,146.33,134.61,7993,113015295.0,8.68,6.67,9.0,3.48
2022-07-15,688800,139.02,143.0,145.77,139.0,5579,79293298.0,4.7,-0.69,-1.0,2.43
2022-07-18,688800,140.91,149.99,149.99,137.37,6637,95649089.0,8.83,4.89,6.99,2.89
2022-07-19,688800,147.0,144.0,153.7,142.02,7482,109711762.0,7.79,-3.99,-5.99,3.26
2022-07-20,688800,144.2,138.0,145.0,134.4,10495,145445892.0,7.36,-4.17,-6.0,4.57
2022-07-21,688800,136.42,133.3,141.1,133.3,7309,100355279.0,5.65,-3.41,-4.7,3.18
2022-07-22,688800,121.0,127.0,130.0,121.0,53730,679743004.0,6.75,-4.73,-6.3,7.72
2022-07-25,688800,127.2,128.97,136.0,127.2,26377,344658964.0,6.93,1.55,1.97,3.79
2022-07-26,688800,128.98,138.58,139.5,128.25,36145,486116507.0,8.72,7.45,9.61,5.19
2022-07-27,688800,138.58,141.99,145.45,137.03,41018,585193808.0,6.08,2.46,3.41,5.89
2022-07-28,688800,144.81,143.57,146.97,139.03,32555,471110228.0,5.59,1.11,1.58,4.68
2022-07-29,688800,146.0,146.05,151.5,144.22,25607,380113417.0,5.07,1.73,2.48,3.68
2022-08-01,688800,148.97,145.99,152.5,145.0,22864,338872290.0,5.14,-0.04,-0.06,3.28
2022-08-02,688800,143.8,145.78,147.2,140.19,30173,436420753.0,4.8,-0.14,-0.21,4.33
2022-08-03,688800,145.0,137.08,146.0,136.69,27095,380492673.0,6.39,-5.97,-8.7,3.89
2022-08-04,688800,136.62,135.74,138.68,131.86,23033,309757862.0,4.98,-0.98,-1.34,3.31
2022-08-05,688800,134.74,138.68,144.0,134.7,12209,171021683.0,6.85,2.17,2.94,1.75
2022-08-08,688800,136.18,140.2,141.79,135.33,8248,114820607.0,4.66,1.1,1.52,1.18
