日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-04-18,688507,275.0,252.0,297.0,245.0,59032,1526203939.0,21.18,2.62,6.44,65.04
2023-04-19,688507,246.9,258.88,269.3,246.9,40186,1034007969.0,8.89,2.73,6.88,44.27
2023-04-20,688507,254.01,283.65,284.0,253.01,31923,855873882.0,11.97,9.57,24.77,35.17
2023-04-21,688507,279.68,281.96,301.79,271.68,25057,718366113.0,10.62,-0.6,-1.69,27.61
2023-04-24,688507,283.03,286.8,291.42,267.86,13487,375986542.0,8.36,1.72,4.84,14.86
2023-04-25,688507,283.1,281.91,288.08,269.0,12424,347712039.0,6.65,-1.71,-4.89,13.69
2023-04-26,688507,279.09,260.99,279.09,260.99,7953,215122331.0,6.42,-7.42,-20.92,8.76
2023-04-27,688507,261.0,242.0,261.0,242.0,14992,372538289.0,7.28,-7.28,-18.99,16.52
2023-04-28,688507,238.4,239.0,252.88,236.0,13284,324390180.0,6.98,-1.24,-3.0,14.63
2023-05-04,688507,239.0,236.2,239.7,226.26,8660,202271590.0,5.62,-1.17,-2.8,9.54
2023-05-05,688507,232.21,221.0,235.0,213.27,12536,278260809.0,9.2,-6.44,-15.2,13.81
2023-05-08,688507,220.76,232.0,232.01,220.66,7702,173847113.0,5.14,4.98,11.0,8.49
2023-05-09,688507,230.38,215.04,230.38,213.98,7909,171963170.0,7.07,-7.31,-16.96,8.71
2023-05-10,688507,212.0,204.26,217.99,200.51,9106,188804566.0,8.13,-5.01,-10.78,10.03
2023-05-11,688507,208.98,199.35,212.94,196.0,6306,127683708.0,8.29,-2.4,-4.91,6.95
2023-05-12,688507,196.42,192.6,200.0,190.5,7388,143277271.0,4.77,-3.39,-6.75,8.14
2023-05-15,688507,192.01,198.0,203.33,192.01,8611,171547787.0,5.88,2.8,5.4,9.49
2023-05-16,688507,197.88,195.7,197.88,188.6,6229,120062480.0,4.69,-1.16,-2.3,6.86
2023-05-17,688507,195.0,199.63,205.98,194.22,7638,154343150.0,6.01,2.01,3.93,8.41
2023-05-18,688507,199.98,200.56,201.97,195.15,4951,98211320.0,3.42,0.47,0.93,5.45
2023-05-19,688507,200.56,212.67,216.81,200.56,9076,191785944.0,8.1,6.04,12.11,10.0
2023-05-22,688507,216.0,211.98,216.0,207.68,4266,90035915.0,3.91,-0.32,-0.69,4.7
2023-05-23,688507,211.88,200.66,211.88,200.22,4677,95835934.0,5.5,-5.34,-11.32,5.15
2023-05-24,688507,203.44,200.89,205.88,200.0,4038,81641963.0,2.93,0.11,0.23,4.45
2023-05-25,688507,199.37,201.97,202.32,193.36,4837,95716088.0,4.46,0.54,1.08,5.33
2023-05-26,688507,196.06,204.95,206.77,196.06,3329,67510488.0,5.3,1.48,2.98,3.67
2023-05-29,688507,210.1,217.36,218.99,204.44,6210,132304863.0,7.1,6.06,12.41,6.84
