code,xtp_prefix,rows,first_date,last_date,file,blocks
300739,33,2029,2018-02-01,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300739.csv,PCB电路板
002463,33,3834,2010-08-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002463.csv,PCB电路板
603228,17,2292,2017-01-06,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603228.csv,PCB电路板
688183,17,1288,2021-02-25,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688183.csv,PCB电路板
000636,33,6907,1996-11-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\000636.csv,MLCC电容
688260,17,1261,2021-04-06,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688260.csv,MLCC电容
300806,33,1591,2019-11-25,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300806.csv,MLCC电容
002975,33,1546,2020-02-05,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002975.csv,MLCC电容
002859,33,2224,2017-04-07,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002859.csv,MLCC电容
605376,17,1339,2020-12-08,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\605376.csv,MLCC电容|材料
300285,33,3367,2012-01-13,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300285.csv,MLCC电容
301566,33,595,2023-12-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301566.csv,MLCC电容
002484,33,3810,2010-09-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002484.csv,MLCC电容
300408,33,2794,2014-12-03,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300408.csv,MLCC电容
300776,33,1720,2019-05-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300776.csv,玻璃基板
603773,17,1983,2018-04-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603773.csv,玻璃基板
300433,33,2711,2015-03-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300433.csv,玻璃基板
000725,33,6037,2001-01-12,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\000725.csv,玻璃基板
688127,17,1389,2020-09-21,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688127.csv,玻璃基板
301200,33,1044,2022-02-28,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301200.csv,玻璃基板
000100,33,5085,2004-01-30,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\000100.csv,玻璃基板
301338,33,929,2022-08-16,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301338.csv,玻璃基板
600707,17,7108,1996-05-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600707.csv,玻璃基板
688012,17,1666,2019-07-22,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688012.csv,长江上下游|长鑫上下游|半导体设备
002371,33,3867,2010-03-16,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002371.csv,长江上下游|长鑫上下游|半导体设备
301308,33,936,2022-08-05,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301308.csv,长江上下游|存储及周边
002654,33,3159,2012-02-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002654.csv,长江上下游
688072,17,1009,2022-04-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688072.csv,长江上下游|长鑫上下游|半导体设备
603986,17,2179,2016-08-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603986.csv,长鑫上下游|存储及周边
688783,17,156,2025-10-28,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688783.csv,长鑫上下游|材料
688008,17,1675,2019-07-22,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688008.csv,存储及周边|三星海力合作
688233,17,1534,2020-02-21,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688233.csv,存储及周边|AI推荐
300398,33,2748,2014-10-09,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300398.csv,存储及周边|材料
300223,33,3409,2011-05-31,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300223.csv,存储及周边
001309,33,961,2022-07-01,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\001309.csv,存储及周边
688449,17,375,2024-11-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688449.csv,存储及周边
301666,33,40,2026-04-16,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301666.csv,存储及周边
688809,17,111,2025-12-30,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688809.csv,存储及周边
688416,17,920,2022-08-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688416.csv,存储及周边
688123,17,1571,2019-12-23,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688123.csv,存储及周边|AI推荐
688766,17,1156,2021-08-23,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688766.csv,存储及周边
688525,17,837,2022-12-30,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688525.csv,存储及周边
688041,17,921,2022-08-12,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688041.csv,昇腾链
688256,17,1434,2020-07-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688256.csv,昇腾链
300394,33,2740,2015-02-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300394.csv,光模块
301205,33,910,2022-09-13,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301205.csv,光模块
301183,33,988,2022-05-24,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301183.csv,光模块
300620,33,2242,2017-03-10,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300620.csv,光模块
688048,17,1020,2022-04-01,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688048.csv,光模块
688807,17,118,2025-12-19,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688807.csv,光模块
688167,17,1084,2021-12-24,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688167.csv,光模块
688313,17,1408,2020-08-12,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688313.csv,光模块
603083,17,2087,2017-11-10,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603083.csv,光模块
688195,17,1257,2021-03-26,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688195.csv,光模块
002428,33,3875,2010-06-08,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002428.csv,光模块
688498,17,844,2022-12-21,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688498.csv,光模块
300502,33,2499,2016-03-03,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300502.csv,光模块
300308,33,3279,2012-04-10,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300308.csv,光模块
002281,33,4018,2009-08-21,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002281.csv,光模块
688627,17,707,2023-07-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688627.csv,半导体设备
688037,17,1573,2019-12-16,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688037.csv,半导体设备
300604,33,2217,2017-04-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300604.csv,半导体设备
688361,17,747,2023-05-19,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688361.csv,半导体设备
603690,17,2194,2017-01-13,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603690.csv,半导体设备
688147,17,842,2022-12-23,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688147.csv,半导体设备
688082,17,1110,2021-11-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688082.csv,半导体设备
688630,17,1263,2021-04-01,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688630.csv,半导体设备|AI推荐
300757,33,1784,2019-01-08,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300757.csv,半导体设备
688120,17,978,2022-06-08,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688120.csv,半导体设备
002837,33,2221,2016-12-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002837.csv,液冷
300499,33,2518,2016-02-02,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300499.csv,液冷
